aid,street_address,postal_code,municipality,population,is capital area,building,description,rent,size,build_year,tax value,euromääräinen erotus,suhteellinen erotus,rental_service,url
481090,Harjukatu 8,15110,Lahti,,0,kerrostalo,"3h,k,kph,s,parvi",1200,80,1936,553,-647,46.08%,Realia Asuntovuokraus Lahti,/vuokra-asunto/lahti/keskusta/kerrostalo/kolmio/481090?entryPoint=fromSearch&rentalIndex=2545
481024,Liljasaarentie 3 A,00340,Helsinki,,1,kerrostalo,"Unfurnished 5r, s. garage",2400,120,1967,1107,-1293,46.13%,Celine Oy Ab LKV AFM,/vuokra-asunto/helsinki/lehtisaari/kerrostalo/5h+/481024?entryPoint=fromSearch&rentalIndex=2587
477070,"Purotie 3, Talin puistotie 4",00380,Helsinki,,1,kerrostalo,2h+kk+s,1447,58,2007,670.6,-776.4,46.34%,SATO Vuokraus ja myynti / Helsinki,/vuokra-asunto/helsinki/kerrostalo/kaksio/477070?entryPoint=fromSearch&rentalIndex=3876
473157,Kokkosaarenkatu 4,00560,Helsinki,,1,kerrostalo,2h+kk,1268,48.5,2003,587.95,-680.05,46.37%,SATO Vuokraus ja myynti / Helsinki,/vuokra-asunto/helsinki/arabianranta/kerrostalo/kaksio/473157?entryPoint=fromSearch&rentalIndex=4734
478004,Hämeenpuisto 12,33210,Tampere,,0,kerrostalo,TPK,504,23,1954,233.8,-270.2,46.39%,VVO-kotikeskus Tampere,/vuokra-asunto/tampere/amuri/kerrostalo/478004?entryPoint=fromSearch&rentalIndex=3647
452857,Pietarinkatu 6 C,00140,Helsinki,,1,kerrostalo,Unfurnished 3 rooms,1620,75,1973,751.5,-868.5,46.39%,Celine Oy Ab LKV AFM,/vuokra-asunto/helsinki/ullanlinna/kerrostalo/kolmio/452857?entryPoint=fromSearch&rentalIndex=6047
475784,Verkatehtaankatu 7,20100,Turku,,0,kerrostalo,2h+k+lasitettu parveke+s,1180,56.5,2002,548.05,-631.95,46.44%,,/vuokra-asunto/turku/keskusta/kerrostalo/kaksio/475784?entryPoint=fromSearch&rentalIndex=4218
315874,Amiraalinkatu 2,00160,Helsinki,,1,kerrostalo,2h+k,1337,58.5,1979,621.15,-715.85,46.46%,SATO Vuokraus ja myynti / Helsinki,/vuokra-asunto/helsinki/katajanokka/kerrostalo/kaksio/315874?entryPoint=fromSearch&rentalIndex=3356
474899,Ratinankatu,33100,Tampere,,0,kerrostalo,Tupakeittiö+OH+MH+P,790,33,2011,367.1,-422.9,46.47%,,/vuokra-asunto/tampere/ratina/kerrostalo/kaksio/474899?entryPoint=fromSearch&rentalIndex=4360
993890,Topeliuksenkatu 29,00250,Helsinki,,1,kerrostalo,2h+kk,1219,38.5,1937,567.55,-651.45,46.56%,SATO Vuokraus ja myynti / Helsinki,/vuokra-asunto/helsinki/taka-toolo/kerrostalo/kaksio/993890?entryPoint=fromSearch&rentalIndex=3355
482296,Hallituskatu 21 C,33200,Tampere,,0,kerrostalo,1h + avok + kph,520,24.5,1960,242.2,-277.8,46.58%,Vuokraturva Oy LKV [A],/vuokra-asunto/tampere/kerrostalo/yksio/482296?entryPoint=fromSearch&rentalIndex=2023
479219,Elinantie 6as93,20540,Turku,,0,kerrostalo,1h+kk+parveke,550,27,1958,256.2,-293.8,46.58%,,/vuokra-asunto/turku/nummi/kerrostalo/yksio/479219?entryPoint=fromSearch&rentalIndex=3205
470513,Amiraalinkatu 2,00160,Helsinki,,1,kerrostalo,2h+k,1308,57,1979,609.3,-698.7,46.58%,SATO Vuokraus ja myynti / Helsinki,/vuokra-asunto/helsinki/katajanokka/kerrostalo/kaksio/470513?entryPoint=fromSearch&rentalIndex=5072
433675,Yliopistonkatu 21,20100,Turku,,0,kerrostalo,2H+KK,610,32,1960,284.2,-325.8,46.59%,VVO-kotikeskus Turku,/vuokra-asunto/turku/keskusta/kerrostalo/kaksio/433675?entryPoint=fromSearch&rentalIndex=2942
400986,Nekalankulma 5,33800,Tampere,,0,kerrostalo,1H+KT,507,23.5,1975,236.6,-270.4,46.67%,VVO-kotikeskus Tampere,/vuokra-asunto/tampere/nekala/kerrostalo/yksio/400986?entryPoint=fromSearch&rentalIndex=1737
481480,Tähtisilmänkuja,00960,Helsinki,,1,omakotitalo,"VILLA 5r, s, terrace",3150,150,2003,1471,-1679,46.70%,Celine Oy Ab LKV AFM,/vuokra-asunto/helsinki/vuosaari/omakotitalo/5h+/481480?entryPoint=fromSearch&rentalIndex=2374
